stock_code,stock_name,date,code,open,high,low,close,volume,amount,pctChg
302132,中航成飞,2025-04-21,sz.302132,57.370835,58.7008855,57.34105775,58.085489,5320495,312116068.42,1.2457
302132,中航成飞,2025-04-22,sz.302132,57.81749375,58.75051425,57.73808775,58.045786,3811181,223464851.89,-0.0684
302132,中航成飞,2025-04-23,sz.302132,58.11526625,58.69095975,57.9862315,58.53214775,4447536,261284773.3,0.8379
302132,中航成飞,2025-04-24,sz.302132,58.69095975,58.76044,57.529647,57.5494985,3976667,232355996.45,-1.6788
302132,中航成飞,2025-04-25,sz.302132,57.83734525,59.5346485,57.529647,58.958955,7332700,433070299.04,2.4491
302132,中航成飞,2025-04-28,sz.302132,59.2567275,61.460244,58.96888075,60.8845505,13517338,821947236.18,3.266
302132,中航成飞,2025-04-29,sz.302132,57.56935,59.44531675,57.0730625,57.67853325,11667584,684877804.31,-5.2657
302132,中航成飞,2025-04-30,sz.302132,57.56935,58.7008855,57.55942425,58.31378125,6997039,409426714.92,1.1014
302132,中航成飞,2025-05-06,sz.302132,58.8596975,59.20709875,58.085489,58.79021725,8377507,494420406.4,0.817
302132,中航成飞,2025-05-07,sz.302132,62.4329675,70.552231,61.0433625,68.81522475,63844321,4300197016.22,17.0522
302132,中航成飞,2025-05-08,sz.302132,69.48025,82.58224,68.8251505,82.58224,95011613,7235590609.66,20.0058
302132,中航成飞,2025-05-09,sz.302132,87.3466,88.220066,78.135504,79.286891,108291361,9099563776.47,-3.9904
302132,中航成飞,2025-05-12,sz.302132,77.42085,95.1482395,77.103226,95.1482395,108062850,9739158417.0,20.005
302132,中航成飞,2025-05-13,sz.302132,94.95965025,96.82569125,86.28454475,88.0811055,100251251,9179411465.45,-7.4275
302132,中航成飞,2025-05-14,sz.302132,88.339175,92.8057625,86.1356585,89.67915125,78814092,7095199263.16,1.8143
302132,中航成飞,2025-05-15,sz.302132,87.227491,90.641949,83.68399825,86.40365375,67149284,5847041238.93,-3.6525
302132,中航成飞,2025-05-16,sz.302132,85.36145,88.98434875,84.8651625,85.440856,49698110,4332895826.28,-1.1143
302132,中航成飞,2025-05-19,sz.302132,86.94957,90.31439925,85.01404875,86.55254,59284583,5236484359.03,1.3011
302132,中航成飞,2025-05-20,sz.302132,84.7460535,85.6592225,79.63429225,79.69384675,62270105,5114727748.86,-7.9243
302132,中航成飞,2025-05-21,sz.302132,79.29681675,82.18521,78.61194,81.351447,43346235,3506517879.52,2.08
302132,中航成飞,2025-05-22,sz.302132,80.88493675,84.96442,80.001545,80.2596145,48592243,4036564550.11,-1.3421
302132,中航成飞,2025-05-23,sz.302132,81.40107575,81.99662075,79.11815325,79.604515,27857850,2255659426.19,-0.8162
302132,中航成飞,2025-05-26,sz.302132,79.71369825,80.07102525,77.9171375,78.66156875,20665805,1635568217.34,-1.1845
302132,中航成飞,2025-05-27,sz.302132,79.207485,79.79310425,77.98661775,78.7906035,25714031,2045524524.18,0.164
302132,中航成飞,2025-05-28,sz.302132,78.00646925,79.1876335,76.83523075,77.27196375,25202262,1975243988.7,-1.9274
302132,中航成飞,2025-05-29,sz.302132,76.25953725,77.5995135,76.00146775,76.984117,19508109,1511244167.22,-0.3725
302132,中航成飞,2025-05-30,sz.302132,77.262038,77.53003325,75.475403,76.1702055,20570979,1584454163.68,-1.0572
302132,中航成飞,2025-06-03,sz.302132,76.14042825,79.5449605,76.1305025,76.97419125,27884313,2187659737.07,1.0555
302132,中航成飞,2025-06-04,sz.302132,76.43820075,77.301741,75.88235875,76.63671575,16679292,1285241496.68,-0.4384
302132,中航成飞,2025-06-05,sz.302132,76.49775525,79.1082275,75.8922845,77.9965435,26290957,2063482496.48,1.7744
302132,中航成飞,2025-06-06,sz.302132,80.20006,85.6989255,79.55488625,81.06360025,44988092,3727222101.68,3.9323
302132,中航成飞,2025-06-09,sz.302132,81.272041,85.282044,80.8948625,82.820458,36620875,3067032051.61,2.1673
302132,中航成飞,2025-06-10,sz.302132,81.46063025,81.470556,78.810455,79.23726225,26504859,2126462428.83,-4.3265
302132,中航成飞,2025-06-11,sz.302132,78.66156875,79.85265875,78.06602375,79.286891,15080104,1201829654.37,0.0626
302132,中航成飞,2025-06-12,sz.302132,78.54245975,79.37622275,78.135504,78.5126825,12840687,1016977051.65,-0.9765
302132,中航成飞,2025-06-13,sz.302132,80.001545,91.991851,78.8700095,87.3466,65844114,5619587798.16,11.2516
302132,中航成飞,2025-06-16,sz.302132,86.354025,90.4235825,84.06117675,87.148085,48412788,4214186239.21,-0.2273
302132,中航成飞,2025-06-17,sz.302132,86.363856,87.56500848,84.25935744,84.7755552,28775793,2468834731.01,-2.7224
302132,中航成飞,2025-06-18,sz.302132,84.85497024,93.19354944,84.65643264,88.27974384,46948883,4193009898.63,4.1335
302132,中航成飞,2025-06-19,sz.302132,85.9667808,88.26981696,83.64389088,85.65904752,30724080,2635704775.89,-2.9686
302132,中航成飞,2025-06-20,sz.302132,84.16008864,85.06343472,82.28390832,82.77032544,19365349,1628058310.28,-3.3723
302132,中航成飞,2025-06-23,sz.302132,83.385792,84.41818752,82.38317712,84.17001552,16608480,1400704628.99,1.6911
302132,中航成飞,2025-06-24,sz.302132,81.0,82.66,79.4,80.3,27125172,2196590373.28,-4.5978
302132,中航成飞,2025-06-25,sz.302132,80.0,83.36,79.79,81.5,25121776,2052680810.29,1.4944
302132,中航成飞,2025-06-26,sz.302132,81.46,84.13,81.0,82.12,24090002,1998512854.62,0.7607
302132,中航成飞,2025-06-27,sz.302132,82.0,83.48,81.0,82.2,18986712,1562972532.73,0.0974
302132,中航成飞,2025-06-30,sz.302132,83.58,90.3,83.51,87.94,39751445,3473897078.08,6.983
302132,中航成飞,2025-07-01,sz.302132,86.75,87.6,85.31,85.95,26236987,2260132197.53,-2.2629
302132,中航成飞,2025-07-02,sz.302132,85.0,85.68,83.64,84.1,15474270,1306476038.45,-2.1524
302132,中航成飞,2025-07-03,sz.302132,84.36,84.7,83.36,83.75,11289696,946850158.88,-0.4162
302132,中航成飞,2025-07-04,sz.302132,83.75,85.58,83.01,84.4,15099572,1271573313.46,0.7761
302132,中航成飞,2025-07-07,sz.302132,84.4,84.93,82.8,83.5,11212627,939124639.44,-1.0664
302132,中航成飞,2025-07-08,sz.302132,83.05,83.68,83.05,83.52,9852645,821307994.6,0.024
302132,中航成飞,2025-07-09,sz.302132,84.71,87.42,84.02,84.32,22909893,1962565255.06,0.9579
302132,中航成飞,2025-07-10,sz.302132,83.3,83.34,81.55,83.16,16501898,1360096340.3,-1.3757
302132,中航成飞,2025-07-11,sz.302132,83.0,85.2,82.56,84.02,13620853,1139918309.67,1.0342
302132,中航成飞,2025-07-14,sz.302132,83.98,84.66,83.16,83.83,8998058,754024970.86,-0.2261
302132,中航成飞,2025-07-15,sz.302132,83.4,83.66,82.1,82.32,10946298,904635102.07,-1.8013
302132,中航成飞,2025-07-16,sz.302132,82.15,82.98,81.89,82.59,8610752,710024292.53,0.328
302132,中航成飞,2025-07-17,sz.302132,82.49,87.15,82.25,85.98,26922649,2291049689.03,4.1046
302132,中航成飞,2025-07-18,sz.302132,85.32,87.5,84.9,86.59,23889580,2060871527.92,0.7095
302132,中航成飞,2025-07-21,sz.302132,85.91,89.7,84.95,88.0,23090605,2028424641.84,1.6284
302132,中航成飞,2025-07-22,sz.302132,87.1,88.99,85.71,86.73,18766278,1640484403.14,-1.4432
302132,中航成飞,2025-07-23,sz.302132,85.94,86.6,84.97,85.22,12954139,1108479981.43,-1.741
302132,中航成飞,2025-07-24,sz.302132,84.97,87.66,84.97,86.06,12986781,1113684143.48,0.9857
302132,中航成飞,2025-07-25,sz.302132,86.01,86.08,84.56,85.29,10083466,858354098.13,-0.8947
302132,中航成飞,2025-07-28,sz.302132,85.26,86.75,85.11,85.75,13599678,1169821867.85,0.5393
302132,中航成飞,2025-07-29,sz.302132,85.24,87.6,84.8,87.5,17734013,1532520335.45,2.0408
302132,中航成飞,2025-07-30,sz.302132,87.5,88.51,83.88,84.99,18496536,1595170692.3,-2.8686
302132,中航成飞,2025-07-31,sz.302132,84.0,85.55,83.81,84.66,12401668,1049143076.0,-0.3883
302132,中航成飞,2025-08-01,sz.302132,84.4,84.4,82.28,82.3,12787210,1062855024.25,-2.7876
302132,中航成飞,2025-08-04,sz.302132,82.02,84.5,82.0,84.42,11739770,985195815.6,2.5759
302132,中航成飞,2025-08-05,sz.302132,84.41,86.0,83.82,84.78,12648074,1075836940.14,0.4264
302132,中航成飞,2025-08-06,sz.302132,84.22,92.37,84.18,88.82,34454601,3045947392.92,4.7653
302132,中航成飞,2025-08-07,sz.302132,87.81,88.48,85.71,86.31,20746648,1793617028.76,-2.8259
302132,中航成飞,2025-08-08,sz.302132,86.0,86.59,84.9,84.94,11957232,1023232680.35,-1.5873
302132,中航成飞,2025-08-11,sz.302132,84.78,86.08,84.7,85.13,11046589,943750074.43,0.2237
