event_id,stock_code,stock_name,market_code,relation_type,relation_strength,relation_layer,note,event_day_pct,event_day_ar,ret_close_t2,ret_close_t5,ret_close_t7,car_t2,car_t5,car_t7
A_20250901_600021,600021,上海电力,sh.600021,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.99%, 换手率=3.71%",9.9935,9.394134999999999,25.669497060744597,45.19921619856302,35.79359895493142,24.675196,39.624252,34.033516
A_20250902_600021,600021,上海电力,sh.600021,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.98%, 换手率=1.62%",9.9762,10.711399,12.11401425178147,37.173396674584325,30.700712589073653,15.531591,34.844655,28.197993
A_20250905_600021,600021,上海电力,sh.600021,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.01%, 换手率=5.58%",10.0106,7.831634,22.35169491525426,17.584745762711872,11.59957627118644,19.313064,14.10208,8.915952
A_20250908_600021,600021,上海电力,sh.600021,放量上涨异动,1.0,直接,"规则抽取：涨跌幅=7.03%, 换手率=8.25%",7.0294,6.866892,0.0962927298988836,4.381319210399615,-1.7814155031295131,1.2761560000000003,3.683615000000001,-2.7076589999999996
A_20250910_600021,600021,上海电力,sh.600021,跌停异动,1.0,直接,"规则抽取：涨跌幅=-10.00%, 换手率=2.97%",-10.0,-10.205274,-3.8961038961039085,-11.688311688311703,-14.329004329004336,-5.210983999999999,-14.189089,-16.091317999999998
A_20251009_600021,600021,上海电力,sh.600021,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.02%, 换手率=6.00%",10.0189,8.536611,12.192816635160675,13.421550094517954,4.536862003780717,13.409123000000001,14.694254,8.471627999999999
A_20251015_600021,600021,上海电力,sh.600021,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.99%, 换手率=6.70%",9.9864,8.505400999999999,6.899682251475259,7.625964593735812,17.657739446209717,7.6736879999999985,7.310153999999997,15.214968999999996
A_20251021_600021,600021,上海电力,sh.600021,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.99%, 换手率=6.78%",9.991,8.456226,6.509945750452073,23.86980108499095,36.48282097649187,5.307464999999999,19.216510999999997,28.990587999999995
A_20251024_600021,600021,上海电力,sh.600021,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.02%, 换手率=6.21%",10.017,8.837349,16.29881154499151,26.01867572156198,22.11375212224109,13.909046,23.497086999999997,20.854934
A_20251029_600021,600021,上海电力,sh.600021,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.00%, 换手率=5.54%",10.0,8.809353999999999,8.357664233576646,5.18248175182483,4.671532846715332,9.588040999999999,6.934397999999999,5.335768999999997
A_20251226_600021,600021,上海电力,sh.600021,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.02%, 换手率=6.59%",10.0151,9.69837,1.5601409159536894,4.630095621539998,8.203321590337186,1.9995200000000004,2.0567320000000002,6.619275
A_20260120_600021,600021,上海电力,sh.600021,放量上涨异动,1.0,直接,"规则抽取：涨跌幅=8.13%, 换手率=9.33%",8.1279,8.456922,6.255707762557083,5.936073059360725,0.6849315068493178,6.672161,6.827952000000002,0.8034180000000024
A_20250407_600022,600022,山东钢铁,sh.600022,跌停异动,1.0,直接,"规则抽取：涨跌幅=-9.56%, 换手率=1.16%",-9.5588,-2.5132849999999998,-5.147058823529416,-3.676470588235292,-5.147058823529416,-0.38184799999999997,-0.790421,-2.686715
A_20250407_600026,600026,中远海能,sh.600026,跌停异动,1.0,直接,"规则抽取：涨跌幅=-10.01%, 换手率=1.02%",-10.0091,-2.963585,-8.280254777070073,-7.097361237488631,-7.097361237488631,-3.7469479999999997,-4.400620999999999,-4.739414999999999
A_20250908_600026,600026,中远海能,sh.600026,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.02%, 换手率=5.40%",10.0181,9.855592,8.754512635379076,12.996389891696737,14.89169675090254,9.199756,11.120115,12.461140999999998
A_20260212_600026,600026,中远海能,sh.600026,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.98%, 换手率=2.52%",9.9824,9.860217,9.512624779800326,20.84556664709334,46.21256605989428,10.628516,20.727047,41.875434999999996
A_20260213_600026,600026,中远海能,sh.600026,跌停异动,1.0,直接,"规则抽取：涨跌幅=-9.50%, 换手率=3.00%",-9.5035,-8.249735000000001,7.581420181526943,20.875600640683388,27.015483182060862,8.209147999999999,20.493952,28.701591
A_20260224_600026,600026,中远海能,sh.600026,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.03%, 换手率=2.49%",10.0295,9.018034,20.58997050147493,46.90265486725664,47.374631268436595,18.088373,40.264953000000006,40.974259
A_20260302_600026,600026,中远海能,sh.600026,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.01%, 换手率=6.29%",10.0097,9.627122,15.59766763848398,,,17.834761,,
